family doctor 		Hausarzt
a claim 			eine Behauptung
grains 			Getreide
to claim 			etwas Behaupten
apricots			Marillen
wholegrain 			Vollkorn
pears				Birnen
veal				Kalbfleisch
beef				Rindgleisch
pork				Schweinefleisch
mutton			Schafleisch
venison			Wildfleisch
cod				Kabeljau
salmon			Lachs
trout				Forelle
tuna 				Tunfisch
oysters			Austern
cucumber			Salatgurke
espargus			Spargel
cauliflower			Blumenkohl
beetroots 			Rote Beete
kale				Grünkohl
eggplant			Aubergine
pulses			Hülsenfrüchte
beans				Bohnen
peas				Erbsen
lentils			Linsen
chickpeas			Kichererbsen
staple foods		Grundnahrungsmittel
to digest			verdauen
digstion			die Verdauung
to starve			verhungern
starvation			Hungertod
saturated fat		gesättigstes Fett
unsaturated fat 		ungesättigtes Fett
optimism bias 		an idea that nothing bad can happen to you (eg. Im young, fit and healthy and i cant suffer from corona")
physical features		Körperliche Merkmale
tanned 			gebräunt
fair				hell
curls				Locken
curly				lockig
take it for granted	es als selbstverständlich ansehen
unique			besonders
notion			Vorstellung
unnerwingly			erschreckend
mannerism			Angewohnheit
determined			entschlossen
provide			bereitstellen
infant			Kind
migraine			Migräne
eery				ängstlich
instance			Beispiel
research indicates that	Untersuchungen zeigen, dass
character trait		Angewohnheit/Charakterzug
NB = neta bene		note well, be careful about
i reckon			ich denke
immortality			Unsterblichkeit
techniques			Techniken
to spiral out of..	Aus etwas geraten (Kontrolle, oder so)
to deteriorate		Zerfallen
take part in		bei etwas teilnehmen
take into account		etwas berücksichtigen
sarrel			Sauerampfer
compassion			Mitgefühl
panel				a group of experts
crew				people worknig on a ship/plane
Further more		weiterhin
in conclusion		abschließend
However			jedoch
to be hooked on		addicted to sth
occasionally		sehr selten kommt etwas vor
retired			pensioniert
fastener			Spanngurt
by means of			durch die Hilfe von
means				Mittel
investigate			untersuchen
due to			zurückrufen auf
unlike			im Gegensatz zu
in spite of			trotz 
indigestible		unverdaubar
intestines			Eingeweide
astounded			suprised
utterly			äußerlich
the bone of contention	Streitigkeit
blackmail			Erpressung
the bribe			jemanden bestechen
negligible 			unbedeutlich
variant			Variante
oral treaty			Mündlicher Vertrag
an incentive		einen Anreiz
exhibition			Ausstellung
put across			überbringen
put up with 		tolerate
put someone down		humiliate
put someone up		accomodate
put something down to 	explain
put something down 	surpress
put something down	provide
put something up		increase
put someone up to sth	persuade
sine quce non		Unabdingbare Voraussetzung
sheer number		große Anzahl
liken				compare
torture			foltern
tap				Wasserhahn
clagged up			verstopft
interfere with		einmischen
disorganised		Unorgansiert
chores			Haushaltsaufgaben
snatches 			Schnipsel
pace around			walk around / rumgehen
microbiologist 		Mikrobiologe
confines (of the lab)	Begränzungen
inhospitable 		Unwirtlich/Lebensfeindlich
take delight doing sth	Spaß bei etwas haben
Age of Enlightenment	die Aufklärung
empiricism			knowledge should be based on observable facts (no bible / we experiment)	
imperialism			extending a country by war / collonisation
take in 			understand
take in			aziehen
